lineNb,bookId,spell,spellType,sentence
28734,4,avada kedavra,Curse,"at these words harry remembered, as though from a former life, the dueling club at hogwarts he had attended briefly two years ago. ... all he had learned there was the disarming spell, ' expelliarmus' ... and what use would it be to deprive voldemort of his wand, even if he could, when he was surrounded by death eaters, outnumbered by at least thirty to one? he had never learned anything that could possibly fit him for this. he knew he was facing the thing against which moody had always warned . . . the un-blockable avada kedavra curse — and voldemort was right — his mother was not here to die for him this time. ..."
28756,4,imperio,Curse,"'i asked you whether you want me to do that again,' said voldemort softly. 'answer me! imperiov’"
28788,4,expelliarmus,Charm,"' expelliarmusv’ voldemort cried, 'avada kedavrav’"
28788,4,avada kedavra,Curse,"' expelliarmusv’ voldemort cried, 'avada kedavrav’"
28866,4,impedimenta,Jinx,"'impedimental' he bellowed, pointing his wand wildly over his shoulder at the death eaters running at him."
28880,4,accio,Charm,"'acciol' harry yelled, pointing his wand at the triwizard cup."
29073,4,stupefy,Charm,"'stupefy' there was a blinding flash of red light, and with a great splintering and crashing, the door of moody’s office was blasted apart —"
29130,4,rennervate,Charm,"all. winky remained on her knees, trembling, her hands over her face. dumbledore forced the man’s mouth open and poured three drops inside it. then he pointed his wand at the man’s chest and said, 'rennervate.'"
29889,4,unbreakable charm,Charm,"'i’ve told her i’ll let her out when we get back to london,' said hermione. 'i’ve put an unbreakable charm on the jar, you see, so she can’t transform."
29922,4,furnunculus,Jinx,"'interesting effect,' said george, looking down at crabbe. 'who used the furnunculus curse?'"
30314,5,lumos,Charm,"muttered frantically, his hands flying over the ground like spiders. 'where’s — wand — come on — lumosl'"
30322,5,expecto patronum,Charm,'expecto patronumv’
30334,5,expecto patronum,Charm,'expecto patronum'
30870,5,lumos,Charm,"'why are we all standing in the dark?' said a third voice, this one completely unfamiliar, a woman’s. 'lumos.'"
31004,5,scourgify,Charm,"'ah, well,' said tonks, slamming the trunk’s lid shut, 'at least it’s all in. that could do with a bit of cleaning, too — scourgify — ' she pointed her wand at hedwig’s cage; a few feathers and droppings vanished. 'well, that’s a bit better — i’ve never quite got the hang of these sort of householdy spells. right — got everything? cauldron? broom? wow! a firebolt?'"
31006,5,locomotor,Charm,"'and i’m still riding a comet two sixty,' said tonks enviously. 'ah well ... wand still in your jeans? both buttocks still on? okay, let’s go. locomotor trunk.'"
31024,5,disillusionment charm,Charm,"'disillusionment charm,' said moody, raising his wand. 'lupin says you’ve got an invisibility cloak, but it won’t stay on while we’re flying; this’ll disguise you better. here you go — '"
31133,5,disillusionment charm,Charm,he rapped harry hard over the head with his wand; harry felt as though something hot was trickling down his back this time and knew that the disillusionment charm must have lifted.
31310,5,imperturbable charm,Charm,"turning to fred and george she said, 'it’s no go with the extendable ears, she’s gone and put an imperturbable charm on the kitchen door.'"
31505,5,permanent sticking charm,Charm,"'my dear old mum, yeah,' said sirius. 'we’ve been trying to get her down for a month but we think she put a permanent sticking charm on the back of the canvas. let’s get downstairs, quick, before they all wake up again.'"
31525,5,evanesco,Transfiguration,"bill took out his wand, muttered 'evanescol' and the scrolls vanished."
31822,5,avada kedavra,Curse,'like what kind of weapon?' said harry. 'something worse than the avada kedavra — ?'
31838,5,imperio,Curse,"sirius half-shrugged but did not argue. mrs. weasley beckoned imperiously to her sons and hermione. one by one they stood up and harry, recognizing defeat, followed suit."
31888,5,avada kedavra,Curse,"'but there can’t be anything worse than the avada kedavra curse, can there?' said ron. 'what’s worse than death?'"
31906,5,bat-bogey hex,Hex,"'you’ve never been on the receiving end of one of her bat-bogey hexes, have you?'"
32074,5,permanent sticking charm,Charm,"'i thought it might be that,' said sirius, casting a disdainful look at the opposite wall. 'she’ll have put another permanent sticking charm on the back of it,"
32298,5,disillusionment charm,Charm,"something very cold trickled down the back of harry’s neck; for a moment he thought someone was putting a disillusionment charm on him again, then he realized that mrs. weasley was attacking his hair with a wet comb. she pressed hard on the top of his head."
32753,5,hover charm,Charm,"'serious miscarriage, my hat!' said fudge at the top of his voice. 'have you ever bothered to tot up the number of cock-and-bull stories this boy has come out with, dumbledore, while trying to cover up his flagrant misuse of magic out of school? i suppose you’ve forgotten the hover charm he used three years ago -'"
33115,5,permanent sticking charm,Charm,"it was odd how widely their possessions seemed to have scattered themselves since they had arrived. it took them most of the afternoon to retrieve their books and belongings from all over the house and stow them back inside their school trunks. harry noticed that ron kept moving his prefect’s badge around, first placing it on his bedside table, then putting it into his jeans pocket, then taking it out and laying it on his folded robes, as though to see the effect of the red on the black. only when fred and george dropped in and offered to attach it to his forehead with a permanent sticking charm did he wrap it tenderly in his maroon socks and lock it in his trunk."
33252,5,riddikulus,Charm,"' r-r-riddikulus' mrs. weasley sobbed, pointing her shaking wand at ron’s body."
33255,5,riddikulus,Charm,' r-riddikulus' she sobbed again.
33258,5,riddikulus,Charm,'no!' mrs. weasley moaned. 'no ... riddikulus\ riddikulusl riddikulusl'
33268,5,riddikulus,Charm,"lupin had come running into the room, closely followed by sirius, with moody stumping along behind them. lupin looked from mrs. weasley to the dead harry on the floor and seemed to understand in an instant. pulling out his own wand he said, very firmly and clearly, ' riddikulusv’"
34275,5,green sparks,,"harry, who was sweating profusely, looked desperately around the dungeon. his own cauldron was issuing copious amounts of dark gray steam; ron’s was spitting green sparks. seamus was feverishly prodding the flames at the base of his cauldron with the tip of his wand, as they had gone out. the surface of hermione’s potion, however, was a shimmering mist of silver vapor, and as snape swept by he looked down his hooked nose at it without comment, which meant that he could find nothing to criticize. at harry’s cauldron, however, snape stopped, looking down at harry with a horrible smirk on his face."
34296,5,evanesco,Transfiguration,"'i know you did, potter, which means that this mess is utterly worthless. evanesco.'"
35275,5,inanimatus conjurus,Transfiguration,"'right, well, i think we should tackle that essay for sprout on self-fertilizing shrubs first, and if we’re lucky we’ll be able to start mcgonagall’s inanimatus conjurus before lunch...'"
35302,5,flying charm,Charm,'what’s that weasley’s riding?' malfoy called in his sneering drawl. 'why would anyone put a flying charm on a moldy old log like that?'
35389,5,inanimatus conjurus,Transfiguration,"'you know, we probably should try and get more homework done during the week,' harry muttered to ron, as they finally laid aside professor mcgonagall’s long essay on the inanimatus conjurus spell and turned miserably to professor sinistra ’s equally long and difficult essay about jupiter’s moons."
36046,5,reparo,Charm,"'reparo,' harry muttered, pointing his wand at the broken pieces of china. they flew back together, good as new, but there was no returning the murtlap essence to the bowl."
36861,5,accio,Charm,harry pointed his wand at the bullfrog that had been hopping hopefully toward the other side of the table — 'acciol ' — and it zoomed gloomily back into his hand.
36868,5,silencio,Charm,"'it was a very, very close call last night,' said hermione. 'i just wonder if umbridge knows how close it was. silenciol'"
36879,5,silencio,Charm,"'silenciol' said hermione hastily, pointing her wand at harry’s frog, which deflated silently before them. 'well, he mustn’t do it again, that’s all. i just don’t know how we’re going to let him know. we can’t send him an owl.'"
36880,5,silencio,Charm,"'i don’t reckon he’ll risk it again,' said ron. 'he’s not stupid, he knows she nearly got him. silenciol'"
36882,5,silencio,Charm,' silenciol silencio'
36886,5,silencio,Charm,"'fine, let’s swap,' said hermione, seizing ron’s raven and replacing it with her own fat bullfrog. 'silencio' the raven continued to open and close its sharp beak, but no sound came out."
36888,5,silencio,Charm,"'wha — ? oh — oh, right,' said ron, very flustered. 'er — silenciol'"
36964,5,impervius,Charm,"'hermione did it,' said harry. he pulled out his wand, tapped his glasses and said, 'imperviusl'"
36965,5,impervius,Charm,"'i think we all ought to try that,' said angelina. 'if we could just keep the rain off our faces it would really help visibility — all together, come on — imperviusl okay. let’s go.'"
36967,5,impervius,Charm,they squelched through the deepening mud to the middle of the pitch; visibility was still very poor even with the impervius charm; light was fading fast and curtains of rain were sweeping the grounds.
37227,5,expelliarmus,Charm,"'right,' said harry, when she had sat down again, 'shall we get practicing then? i was thinking, the first thing we should do is expelliarmus, you know, the disarming charm. i know it’s pretty basic but i’ve found it really useful — '"
37228,5,expelliarmus,Charm,"'oh please,' said zacharias smith, rolling his eyes and folding his arms. 'i don’t think expelliarmus is exactly going to help us against you-know-who, do you?'"
37240,5,expelliarmus,Charm,"the room was suddenly full of shouts of 'expelliarmusl': wands flew in all directions, missed spells hit books on shelves and sent them flying into the air. harry was too quick for neville, whose wand went spinning out of his hand, hit the ceiling in a shower of sparks, and landed with a clatter on top of a bookshelf, from which harry retrieved it with a summoning charm. glancing around he thought he had been right to suggest that they practice the basics first; there was a lot of shoddy spellwork going on; many people were not succeeding in disarming their opponents at all, but merely causing them to jump backward a few paces or wince as the feeble spell whooshed over them."
37241,5,expelliarmus,Charm,"'expelliarmusl' said neville, and harry, caught unawares, felt his wand fly out of his hand."
37287,5,expelliarmus,Charm,"everybody stopped shouting, ' expelliarmusl' and the last couple of wands clattered to the floor."
37314,5,reducto,Curse,"harry felt as though he were carrying some kind of talisman inside his chest over the following two weeks, a glowing secret that supported him through umbridge’s classes and even made it possible for him to smile blandly as he looked into her horrible bulging eyes. he and the d.a. were resisting her under her very nose, doing the very thing that she and the ministry most feared, and whenever he was supposed to be reading wilbert slinkhard’s book during her lessons he dwelled instead on satisfying memories of their most recent meetings, remembering how neville had successfully disarmed hermione, how colin creevey had mastered the impediment jinx after three meetings’ hard effort, how parvati patil had produced such a good reductor curse that she had reduced the table carrying all the sneakoscopes to dust."
37321,5,protean charm,Charm,"'you see the numerals around the edge of the coins?' hermione said, holding one up for examination at the end of their fourth meeting. the coin gleamed fat and yellow in the light from the torches. 'on real galleons that’s just a serial number referring to the goblin who cast the coin. on these fake coins, though, the numbers will change to reflect the time and date of the next meeting. the coins will grow hot when the date changes, so if you’re carrying them in a pocket you’ll be able to feel them. we take one each, and when harry sets the date of the next meeting he’ll change the numbers on his coin, and because i’ve put a protean charm on them, they’ll all change to mimic his.'"
37331,5,protean charm,Charm,'you can do a protean charm?' said terry boot.
37356,5,hair-thickening charm,Charm,"players in the corridors. when alicia spinnet turned up in the hospital wing with her eyebrows growing so thick and fast that they obscured her vision and obstructed her mouth, snape insisted that she must have attempted a hair-thickening charm on herself and refused to listen to the fourteen eyewitnesses who insisted that they had seen the slytherin keeper,"
37575,5,impedimenta,Jinx,"he could hear girls’ voices screaming, malfoy yelling, george swearing, a whistle blowing, and the bellowing of the crowd around him, but he did not care, not until somebody in the vicinity yelled ' impedimenta !' and only when he was knocked over backward by the force of the spell did he abandon the attempt to punch every inch of malfoy he could reach..."
38101,5,obliteration charm,Charm,"'i dunno if you got through to him,' said ron a short while later when, having checked that the coast was clear, they walked back up to the castle through the thickening snow, leaving no trace behind them due to the obliteration charm hermione was performing as they went."
38324,5,impedimenta,Jinx,"they all divided up obediently; harry partnered neville as usual. the room was soon full of intermittent cries of ' impedimental ' people froze for a minute or so, during which their partners would stare aimlessly around the room watching other pairs at work, then would unfreeze and take their turn at the jinx."
38647,5,portus,Charm,"dumbledore was now rummaging in a cupboard behind harry and ron. he emerged from it carrying a blackened old kettle, which he placed carefully upon his desk. he raised his wand and murmured 'portus'; for a moment the kettle trembled, glowing with an odd blue light, then it quivered to a rest, as solidly black as ever."
38746,5,accio,Charm,"'that’s right,' said sirius encouragingly, 'come on, let’s all ... let’s all have a drink while we’re waiting. accio butterbeeri'"
38964,5,imperturbable charm,Charm,"'you read my mind,' said fred, grinning. 'let’s see if st. mungo’s puts imperturbable charms on its ward doors, shall we?'"
39317,5,alohomora,Charm,"the healer pointed her wand at the door of the janus thickey ward and muttered 'alohomora.' the door swung open and she led the way inside, keeping a firm grasp on gilderoy’s arm until she had settled him into an armchair beside his bed."
39408,5,nox,Charm,"harry did not mention his vague suspicions to sirius, whose cheerfulness was evaporating fast now that christmas was over. as the date of their departure back to hogwarts drew nearer, he became more and more prone to what mrs. weasley called 'fits of the sullens,' in which he would become taciturn and grumpy, often withdrawing to buckbeak’s room for hours at a time. his gloom seeped through the house, oozing under doorways like some noxious gas, so that all of them became infected by it."
39719,5,legilimens,Charm,"i have been told that you have already shown aptitude at resisting the imperius curse... you will find that similar powers are needed for this... brace yourself, now... legilimensv’"
39750,5,legilimens,Charm,'let’s go again ... on the count of three ... one — two — three — legilimensl'
39766,5,legilimens,Charm,"'then prove it! master yourself!' spat snape. 'control your anger, discipline your mind! we shall try again! get ready, now! legilimens'"
40702,5,legilimens,Charm,he raised his wand. 'one — two — three — legilimensv’
40705,5,protego,Charm,'protegol'
40714,5,reparo,Charm,"'reparo' hissed snape, and the jar sealed itself once more. 'well, potter ... that was certainly an improvement...' panting slightly, snape straightened the pensieve in which he had again stored some of his thoughts before starting the lesson, almost as though checking that they were still there. 'i don’t remember telling you to use a shield charm . . . but there is no doubt that it was effective...'"
40719,5,legilimens,Charm,"harry did not have time to gather himself together and attempt to clear his mind, for snape had already cried ' legilimens'"
40792,5,locomotor,Charm,"professor sprout came hurrying forward out of the crowd and grabbed professor trelawney’s other arm. together they guided her past umbridge and up the marble stairs. professor flitwick went scurrying after them, his wand held out before him; he squeaked, 'locomotor trunksl' and professor trelawney’s luggage rose into the air and proceeded up the staircase after her, professor flitwick bringing up the rear."
40995,5,trip jinx,Jinx,"'trip jinx, potter!' he said. 'hey, professor — professor! i’ve got one!'"
41430,5,stupefy,Charm,stupefy]'
41593,5,accio,Charm,"'quills down, please!' squeaked professor flitwick. 'that means you too, stebbins! please remain seated while i collect your parchment! acciol'"
41660,5,expelliarmus,Charm,"snape reacted so fast it was as though he had been expecting an attack: dropping his bag, he plunged his hand inside his robes, and his wand was halfway into the air when james shouted, ' expelliarmusv’"
41662,5,impedimenta,Jinx,"' impedimental ' he said, pointing his wand at snape, who was knocked off his feet, halfway through a dive toward his own fallen wand."
41676,5,scourgify,Charm,' scourgifyl'
41706,5,petrificus totalus,Curse,"'petrificus totalusl' and snape keeled over again at once, rigid as a board."
41918,5,alohomora,Charm,"'christmas before last sirius gave me a knife that’ll open any lock,' said harry. 'so even if she’s bewitched the door so alohomora won’t work, which i bet she has — '"
42213,5,accio,Charm,"and before umbridge could say a word, they raised their wands and said together, 'accio broomsv’"
42249,5,bubble-head charm,Charm,"inspired by fred and george’s example, a great number of students were now vying for the newly vacant positions of troublemakers-in-chief. in spite of the new door, somebody managed to slip a hairy- snouted niffler into umbridge ’s office, which promptly tore the place apart in its search for shiny objects, leapt on umbridge on her re-entrance, and tried to gnaw the rings off her stubby fingers. dungbombs and stinkpellets were dropped so frequently in the corridors that it became the new fashion for students to perform bubble-head charms on themselves before leaving lessons, which ensured them a supply of fresh clean air, even though it gave them all the peculiar appearance of wearing upside-down goldfish bowls on their heads."
42270,5,reparo,Charm,"'reparo' said hermione quickly, mending ron’s cup with a wave of her wand. 'that’s all very well, but what if montague’s permanently injured?'"
42442,5,lumos,Charm,"'good!' said hermione, as harry set her back on her feet. they both murmured 'lumos' and their wand tips ignited. hagrid ’s face swam through the gloom by the light of the two wavering beams and harry saw that he looked nervous and sad again."
42870,5,cheering charm,Charm,"'well, it wasn’t too bad, was it?' asked hermione anxiously in the entrance hall two hours later, still clutching the exam paper. 'i’m not sure i did myself justice on cheering charms, i just ran out of time — did you put in the countercharm for hiccups? i wasn’t sure whether i ought to, it felt like too much — and on question twenty-three — '"
42896,5,switching spell,Transfiguration,"he forgot the definition of a switching spell during his written exam next morning, but thought his practical could have been a lot worse. at least he managed to vanish the whole of his iguana, whereas poor hannah abbott lost her head completely at the next table and somehow managed to multiply her ferret into a flock of flamingos, causing the examination to be halted for ten minutes while the birds were captured and carried out of the hall."
42902,5,expecto patronum,Charm,'expecto patronum).'
43097,5,crucio,Curse,"the black shape upon the floor shifted a little. harry saw a long-fingered white hand clutching a wand rise on the end of his own arm . . . heard the high, cold voice say, ' cruciol '"
43364,5,stealth sensoring spell,Charm,"'you think,' she whispered, bending harry’s neck back even farther, so that he was looking up at the ceiling above him, 'that after two nifflers i was going to let one more foul, scavenging little creature enter my office without my knowledge? i had stealth sensoring spells placed all around my doorway after the last one got in, you foolish boy. take his wand,' she barked at someone he could not see, and he felt a hand grope inside the chest pocket of his robes and remove the wand. 'hers too ...'"
43595,5,incarcerous,Conjuration,"'be quiet!' shouted hermione, but it was too late — umbridge pointed her wand at magorian and screamed, ' incarcerousl'"
43690,5,bat-bogey hex,Hex,"'couple of stunners, a disarming charm, neville brought off a really nice little impediment jinx,' said ron airily, now handing back hermione’s wand too. 'but ginny was best, she got malfoy — bat-bogey hex — it was superb, his whole face was covered in the great flapping things. anyway, we saw you heading into the forest out of the window and followed."
43909,5,flagrate,Charm,"'wait!' said hermione sharply, as luna made to close the door of the brain room behind them. ' flagratev’"
43969,5,alohomora,Charm,"'get out of the way!' said hermione sharply. she pointed her wand at the place where a lock would have been on an ordinary door and said, 'alohomora'"
44113,5,accio,Charm,"the words were hardly out of his mouth when the female death eater shrieked, 'accio proph — '"
44114,5,protego,Charm,"harry was just ready for her. he shouted 'protego' before she had finished her spell, and though the glass sphere slipped to the tips of his fingers he managed to cling on to it."
44203,5,reducto,Curse,"five different voices behind him bellowed 'reductol' five curses flew in five different directions and the shelves opposite them exploded as they hit. the towering structure swayed as a hundred glass spheres burst apart, pearly-white figures unfurled into the air and floated there, their voices echoing from who knew what long-dead past amid the torrent of crashing glass and splintered wood now raining down upon the floor —"
44206,5,stupefy,Charm,"ginny, and luna sprint past him, their arms over their heads. something heavy struck him on the side of the face but he merely ducked his head and sprinted onward; a hand caught him by the shoulder; he heard hermione shout 'stupefy' and the hand released him at once."
44212,5,portus,Charm,' colloportus' gasped hermione and the door sealed itself with an odd squelching noise.
44212,5,colloportus,Charm,' colloportus' gasped hermione and the door sealed itself with an odd squelching noise.
44226,5,alohomora,Charm,'stand aside!' said a rough voice. 'alohomora'
44230,5,stupefy,Charm,"harry saw the knees of the death eaters bend. poking his wand out from under the desk he shouted, 'stupefy]'"
44233,5,expelliarmus,Charm,"harry launched himself across the floor and grabbed the death eater around the knees, causing him to topple and his aim to go awry. neville overturned his desk in his anxiety to help; pointing his wand wildly at the struggling pair he cried, 'expelliarmus'"
44245,5,stupefy,Charm,"harry flung himself sideways as neville took aim again and shouted, ' stupefy !'"
44250,5,stupefy,Charm,"'stupefy]' screamed hermione, who had just caught up with them. the jet of red light hit the death eater in the middle of his chest; he froze, his arm still raised, his wand fell to the floor with a clatter and he collapsed backward toward the bell jar. harry expected to hear a clunk, for the man to hit solid glass and slide off the jar onto the floor, but instead, his head sank through the surface of the bell jar as though it was nothing but a soap bubble and he came to rest, sprawled on his back on the table, with his head lying inside the jar full of glittering wind."
44251,5,accio,Charm,'accio wand' cried hermione. harry’s wand flew from a dark corner into her hand and she threw it to him.
44284,5,silencio,Charm,"' silenciol ' cried hermione, and the man’s voice was extinguished. he continued to mouth through the hole in his mask, but no sound came out; he was thrust aside by his fellow."
44285,5,petrificus totalus,Curse,"'petrificus totalusl' shouted harry, as the second death eater raised his wand. his arms and legs snapped together and he fell forward, facedown onto the rug at harry’s feet, stiff as a board and unable to move at all."
44352,5,reducto,Curse,"'anyway, one of them grabbed ginny’s foot, i used the reductor curse and blew up pluto in his face, but ...'"
44377,5,portus,Charm,"' colloportus' shouted harry, and he heard three bodies slam into the door on the other side."
44377,5,colloportus,Charm,"' colloportus' shouted harry, and he heard three bodies slam into the door on the other side."
44382,5,portus,Charm,' colloportusl'
44382,5,colloportus,Charm,' colloportusl'
44401,5,accio,Charm,"'honest, harry, they’re brains — look — accio brain'"
44415,5,diffindo,Charm,"'diffindol' yelled harry, trying to sever the feelers wrapping themselves tightly around ron before his eyes, but they would not break. ron fell over, still thrashing against his bonds."
44453,5,crucio,Curse,bellatrix raised her wand. 'cruciol'
44473,5,stupefy,Charm,"neville had come lunging out of nowhere: unable to articulate a spell, he had jabbed hermione’s wand hard into the eyehole of the death eater’s mask. the man relinquished harry at once with a howl of pain and harry whirled around to face him and gasped, 'stupefy]'"
44482,5,protego,Charm,"he made the same slashing movement with his wand that he had used on hermione just as harry yelled, 'protego'"
44484,5,accio,Charm,dolohov raised his wand again. 'accio proph — '
44490,5,petrificus totalus,Curse,"dolohov drew back his wand to make the same slashing movement he had used on harry and hermione. springing up, harry yelled, 'petrificus totalusl' once again, dolohov’s arms and legs snapped together and he keeled over backward, landing with a crash on his back."
44504,5,impedimenta,Jinx,"harry flung the prophecy across the floor, neville spun himself around on his back and scooped the ball to his chest. malfoy pointed the wand instead at neville, but harry jabbed his own wand back over his shoulder and yelled, 'impedimental'"
44609,5,crucio,Curse,hatred rose in harry such as he had never known before. he flung himself out from behind the fountain and bellowed 'cruciov’
44612,5,crucio,Curse,"harry had been edging around the fountain on the other side. she screamed, 'cruciol' and he was forced to duck down again as the centaur’s arm, holding its bow, spun off and landed with a crash on the floor a short distance from the golden wizard’s head."
44619,5,stupefy,Charm,'stupefy' yelled harry. he had edged right around to where the goblin stood beaming up at the now headless wizard and taken aim at her back as she peered around the fountain for him. she reacted so fast he barely had time to duck.
44620,5,protego,Charm,'protegol'
44634,5,accio,Charm,"'liar!' she shrieked, but he could hear the terror behind the anger now. 'you’ve got it, potter, and you will give it to me — accio prophecy ! accio prophecy !'"
44654,5,avada kedavra,Curse,"'i have nothing more to say to you, potter,' he said quietly. 'you have irked me too often, for too long. avada kedavral'"
44750,5,portus,Charm,"he walked away from the pool to the place where the golden wizard’s head lay on the floor. he pointed his wand at it and muttered, 'portus.' the head glowed blue and trembled noisily against the wooden floor for a few seconds, then became still once more."
44971,5,legilimens,Charm,"'he did not wish to tell me,' said dumbledore. 'but i am a sufficiently accomplished legilimens myself to know when i am being lied to and i — persuaded him"
45294,5,imperio,Curse,"she beckoned them forward imperiously and they came, shuffling their large feet and looking awkward."
45738,6,green sparks,,"and before the prime minister could shout, 'now, wait just one moment!' fudge had vanished in a shower of green sparks."
46002,6,legilimens,Charm,"'you think he is mistaken? or that i have somehow hoodwinked him? fooled the dark lord, the greatest wizard, the most accomplished legilimens the world has ever seen?'"
46069,6,nox,Charm,"'of course, it became apparent to me very quickly that he had no extraordinary talent at all. he has fought his way out of a number of tight corners by a simple combination of sheer luck and more talented friends. he is mediocre to the last degree, though as obnoxious and self-satisfied as was his father before him. i have done my utmost to have him thrown out of hogwarts, where i believe he scarcely belongs, but kill him, or allow him to be killed in front of me? i"
46149,6,unbreakable vow,Spell,"'if you are there to protect him ... severus, will you swear it? will you make the unbreakable vow?'"
46150,6,unbreakable vow,Spell,'the unbreakable vow?'
46158,6,unbreakable vow,Spell,"'certainly, narcissa, i shall make the unbreakable vow,' he said quietly. 'perhaps your sister will consent to be our bonder.'"
46219,6,imperio,Curse,"but the rest of this story was obscured by the large birdcage standing on top of it. inside it was a magnificent snowy owl. her amber eyes surveyed the room imperiously, her head swiveling occasionally to gaze at her snoring master. once or twice she clicked her beak impatiently, but harry was too deeply asleep to hear her."
46235,6,disillusionment charm,Charm,"disillusionment charms, and, in the case of underage family members, side-along-apparition."
46235,6,apparition,Transportation,"disillusionment charms, and, in the case of underage family members, side-along-apparition."
46458,6,apparition,Transportation,"'you have not, of course, passed your apparition test,' he said."
46542,6,lumos,Charm,'lumos.'
46613,6,intruder charm,Charm,"didn’t hear my intruder charm go off, i was taking a bath. still,' he added sternly, seeming to pull himself back together again, 'the fact remains that i’m an old man, albus. a tired old man who’s earned the right to a quiet life and a few creature comforts.'"
46755,6,apparition,Transportation,"braced this time, harry was ready for the apparition, but still found it unpleasant. when the pressure disappeared and he found himself able to breathe again, he was standing in a country lane beside dumbledore and looking ahead to the crooked silhouette of his second favorite building in the world: the burrow. in spite of the feeling of dread that had just swept through him, his spirits could not help but lift at the sight of it. ron was in there ... and so was mrs. weasley, who could cook better than anyone he knew. ..."
46866,6,stretching jinx,Jinx,"'you’re like ron,' she sighed, looking him up and down. 'both of you look as though you’ve had stretching jinxes put on you. i swear ron’s grown four inches since i last bought him school robes. are you hungry, harry?'"
47436,6,patented daydream charm,Charm,' ‘patented daydream charms . . . ’ '
47495,6,patented daydream charm,Charm,"george swept off through the curtain to help with the customers, and fred led harry back into the main part of the shop to find hermione and ginny still poring over the patented daydream charms."
47914,6,anapneo,"Healing Spell, Vanishment","'anapneo,' said slughorn calmly, pointing his wand at belby, whose airway seemed to clear at once."
47942,6,bat-bogey hex,Hex,"'oh dear!' chuckled slughorn comfortably, looking around at ginny, who was glaring at zabini around slughorn ’s great belly. 'you want to be careful, blaise! i saw this young lady perform the most marvelous bat-bogey hex as i was passing her carriage! i wouldn’t cross her!'"
48043,6,petrificus totalus,Curse,'petrificus totalusl'
48076,6,accio,Charm,"he tried to make a sound, even a grunt, but it was impossible. then he remembered that some wizards, like dumbledore, could perform spells without speaking, so he tried to summon his wand, which had fallen out of his hand, by saying the words 'accio wand' over and over again in his head, but nothing happened."
48097,6,episkey,Healing Spell,"'episkey,' said tonks."
48122,6,alohomora,Charm,"'alohomora' he said confidently, pointing his wand at the padlock, but nothing happened."
48132,6,anti-intruder jinx,Jinx,"'no, you couldn’t,' said tonks flatly. 'anti-intruder jinxes on all of them. security’s been tightened a hundredfold this summer.'"
48172,6,tergeo,Charm,"she raised her wand, said 'tergeol' and siphoned off the dried blood."
48437,6,protego,Charm,"he turned his wand on harry so fast that harry reacted instinctively; all thought of nonverbal spells forgotten, he yelled, 'protegol'"
48629,6,revelio,Charm,"' specialis revelio' she said, rapping it smartly on the front cover."
48629,6,specialis revelio,Charm,"' specialis revelio' she said, rapping it smartly on the front cover."
48830,6,reparo,Charm,"merope stumbled across the room, but before she had time to raise her wand, ogden had lifted his own and said firmly, 'reparo.' the pot mended itself instantly."
48916,6,relashio,Jinx,"both harry and ogden yelled 'no!' at the same time; ogden raised his wand and cried, 'relashiol' gaunt was thrown backward, away from his daughter; he tripped over a chair and fell flat on his back. with a roar of rage, morfin leapt out of his chair and ran at ogden, brandishing his bloody knife and firing hexes indiscriminately from his wand."
49020,6,aguamenti,"Charm, Conjuration","'we’ve got quidditch tryouts this morning!' said ron. 'and we’re supposed to be practicing that aguamenti charm from flitwick! anyway, explain what? how are we going to tell him we hated his stupid subject?'"
49049,6,reparo,Charm,"he pulled the old copy of advanced potion-making out of his bag and tapped the cover with his wand, muttering, 'diffindol' the cover fell off. he did the same thing with the brand-new book (hermione looked scandalized). he then swapped the covers, tapped each, and said, 'reparo'"
49049,6,diffindo,Charm,"he pulled the old copy of advanced potion-making out of his bag and tapped the cover with his wand, muttering, 'diffindol' the cover fell off. he did the same thing with the brand-new book (hermione looked scandalized). he then swapped the covers, tapped each, and said, 'reparo'"
49313,6,muffliato,Charm,"harry had already attempted a few of the prince’s self- invented spells. there had been a hex that caused toenails to grow alarmingly fast (he had tried this on crabbe in the corridor, with very entertaining results); a jinx that glued the tongue to the roof of the mouth (which he had twice used, to general applause, on an unsuspecting argus filch); and, perhaps most useful of all, muffliato, a spell that filled the ears of anyone nearby with an unidentifiable buzzing, so that lengthy conversations could be held in class without being overheard. the only person who did not find these charms amusing was hermione, who maintained a rigidly disapproving expression throughout and refused to talk at all if harry had used the muffliato spell on anyone in the vicinity."
49315,6,levicorpus,Jinx,levicorpus (nvbl)
49321,6,levicorpus,Jinx,"pointing his wand at nothing in particular, he gave it an upward flick and said levicorpusl inside his head."
49325,6,liberacorpus,Counter-Jinx,"he groped for the potion book and riffled through it in a panic, trying to find the right page; at last he located it and deciphered one cramped word underneath the spell: praying that this was the counter-jinx, harry thought liberacorpus\ with all his might."
50015,6,muffliato,Charm,"'okay, professor, we’re starting now!' said ron, adding quietly, when she had turned away again, 'should’ve used muffliato, harry.'"
50056,6,reparo,Charm,"'reparo,' he said hastily, poking the pieces with his wand, and the bowl sprang back together again. the crash, however, appeared to have awoken ron and hermione to harry’s presence. hermione looked flustered and immediately started fussing about for her copy of flesh-eating trees of the world to find out the correct way to juice snargaluff pods; ron, on the other hand, looked sheepish but also rather pleased with himself."
