,id,movie,chapter,character,dialog,polarity_score
993,108,Harry Potter and the Chamber of Secrets,The Burrow,Arthur Weasley,"Morning, Weasleys.",0.0
994,109,Harry Potter and the Chamber of Secrets,The Burrow,Fred Weasley,"Morning, Dad.",0.0
995,110,Harry Potter and the Chamber of Secrets,The Burrow,George Weasley,"Morning, Dad.",0.0
996,111,Harry Potter and the Chamber of Secrets,The Burrow,Ron Weasley,"Morning, Dad.",0.0
997,112,Harry Potter and the Chamber of Secrets,The Burrow,Molly Weasley,Morning Arthur!,0.0
998,113,Harry Potter and the Chamber of Secrets,The Burrow,Arthur Weasley,What a night. Nine raids. Nine!,0.0
999,114,Harry Potter and the Chamber of Secrets,The Burrow,Harry Potter,Raids?,0.0
1000,115,Harry Potter and the Chamber of Secrets,The Burrow,Ron Weasley,"Dad works in the Ministry of Magic, in the Misuse of Muggle Artifacts Office. Dad loves Muggles, thinks they're fascinating.",0.802
1001,116,Harry Potter and the Chamber of Secrets,The Burrow,Arthur Weasley,Well now. Aah! And who are you?,0.3382
1002,117,Harry Potter and the Chamber of Secrets,The Burrow,Harry Potter,"Oh, sorry sir. I'm Harry, sir, Harry Potter.",-0.0772
1003,118,Harry Potter and the Chamber of Secrets,The Burrow,Arthur Weasley,"Good Lord! Are you really? Well, Ron's told us all about you, of course. When did he get here?",0.7136
1004,119,Harry Potter and the Chamber of Secrets,The Burrow,Molly Weasley,This morning. Your sons flew that enchanted car of yours to Surrey and back last night.,0.3818
1005,120,Harry Potter and the Chamber of Secrets,The Burrow,Arthur Weasley,Did you really? How'd it go? Did you—,0.0
1006,121,Harry Potter and the Chamber of Secrets,The Burrow,Fred Weasley,"Oh, it…",0.0
1007,122,Harry Potter and the Chamber of Secrets,The Burrow,George Weasley,"Oh, it…",0.0
1008,123,Harry Potter and the Chamber of Secrets,The Burrow,Ron Weasley,"Oh, it…",0.0
1009,124,Harry Potter and the Chamber of Secrets,The Burrow,Harry Potter,"Oh, it…",0.0
1010,125,Harry Potter and the Chamber of Secrets,The Burrow,Molly Weasley,Arthur!,0.0
1011,126,Harry Potter and the Chamber of Secrets,The Burrow,Arthur Weasley,"I mean…that was very wrong, indeed, boys. Very wrong of you. Now, Harry, you must know all about Muggles. Tell me, what exactly is the function of a rubber duck?",-0.7774
1012,127,Harry Potter and the Chamber of Secrets,The Burrow,Harry Potter,"Oh, umm…",0.0
1013,128,Harry Potter and the Chamber of Secrets,The Burrow,Molly Weasley,"Well, that'll be Errol with the post. Oh, fetch it will you Percy, please?",0.5267
1014,129,Harry Potter and the Chamber of Secrets,The Burrow,Percy Weasley,Errol…,0.0
1015,130,Harry Potter and the Chamber of Secrets,The Burrow,Ron Weasley,He's always doing that.,0.0
1016,131,Harry Potter and the Chamber of Secrets,The Burrow,Percy Weasley,"Oh look, it's our Hogwarts letters. And they've sent us Harry's as well.",0.2732
1017,132,Harry Potter and the Chamber of Secrets,The Burrow,Arthur Weasley,"Dumbledore must know you're here, Harry. Doesn't miss a trick, that man.",0.1511
1018,133,Harry Potter and the Chamber of Secrets,The Burrow,Molly Weasley,"Oh, no.",0.0
1019,134,Harry Potter and the Chamber of Secrets,The Burrow,Fred Weasley,"This lot won't come cheap, Mum. The spell books alone are very expensive.",-0.25
1020,135,Harry Potter and the Chamber of Secrets,The Burrow,Molly Weasley,We'll manage. There's only one place we're going to get all of this. Diagon Alley.,0.0
1021,136,Harry Potter and the Chamber of Secrets,To Diagon Alley,Molly Weasley,"Right. Here we are Harry, you go first dear.",0.3818
1022,137,Harry Potter and the Chamber of Secrets,To Diagon Alley,Ron Weasley,"But Harry's never traveled by Floo powder before, Mum.",0.0
1023,138,Harry Potter and the Chamber of Secrets,To Diagon Alley,Harry Potter,Floo powder?,0.0
1024,139,Harry Potter and the Chamber of Secrets,To Diagon Alley,Molly Weasley,"Oh, well you go first Ron, so that Harry can see how it's done. Yes. In you go… That's it.",0.5859
1025,140,Harry Potter and the Chamber of Secrets,To Diagon Alley,Ron Weasley,Diagon Alley!,0.0
1026,141,Harry Potter and the Chamber of Secrets,To Diagon Alley,Molly Weasley,"You see? It's quite easy, dear. Don't be afraid. Come on. Come on. In you go. That's it, mind your head. That's right. Now take your Floo powder. That's it, very good. Now, don't forget to speak very, very clearly.",0.9217
1027,142,Harry Potter and the Chamber of Secrets,To Diagon Alley,Harry Potter,'Diaganilly.',0.0
1028,143,Harry Potter and the Chamber of Secrets,To Diagon Alley,Molly Weasley,"What did he say, dear?",0.3818
1029,144,Harry Potter and the Chamber of Secrets,To Diagon Alley,Arthur Weasley,'Diaganilly.',0.0
1030,145,Harry Potter and the Chamber of Secrets,To Diagon Alley,Molly Weasley,I thought he did.,0.0
1031,146,Harry Potter and the Chamber of Secrets,To Diagon Alley,Other,"Ah, ha-ha-ha-ha…",0.0
1032,147,Harry Potter and the Chamber of Secrets,To Diagon Alley,Witch,"Not lost are you, my dear?",0.5517
1033,148,Harry Potter and the Chamber of Secrets,To Diagon Alley,Harry Potter,"I'm fine, thank you. I- I was just…",0.5106
1034,149,Harry Potter and the Chamber of Secrets,To Diagon Alley,Other,Come with us. We'll help you find your way back.,0.4019
1035,150,Harry Potter and the Chamber of Secrets,To Diagon Alley,Harry Potter,No! Please!,0.4374
1036,151,Harry Potter and the Chamber of Secrets,To Diagon Alley,Rubeus Hagrid,Harry?,0.0
1037,152,Harry Potter and the Chamber of Secrets,To Diagon Alley,Harry Potter,Hagrid!,0.0
1038,153,Harry Potter and the Chamber of Secrets,To Diagon Alley,Rubeus Hagrid,What do you think you're doing down 'ere? Come on!,0.0
1039,154,Harry Potter and the Chamber of Secrets,To Diagon Alley,Rubeus Hagrid,"Yer a mess, Harry. Skulkin' 'round Knockturn Alley? Dodgy place! Don' want no one ter see you there. People'll think you were up to no good.",-0.7905
1040,155,Harry Potter and the Chamber of Secrets,To Diagon Alley,Harry Potter,"I was lost, I— hang on. What were you doing down there, then?",-0.3182
1041,156,Harry Potter and the Chamber of Secrets,To Diagon Alley,Rubeus Hagrid,"Me? Oh, I was… um… I was lookin' for Flesh-Eatin' Slug Repellent. They're ruinin' all the school cabbages.",0.0
1042,157,Harry Potter and the Chamber of Secrets,To Diagon Alley,Hermione Granger,Harry! Hagrid!,0.0
1043,158,Harry Potter and the Chamber of Secrets,To Diagon Alley,Rubeus Hagrid,"Hello, Hermione!",0.0
1044,159,Harry Potter and the Chamber of Secrets,To Diagon Alley,Hermione Granger,"Oh, it's so good to see you!",0.6166
1045,160,Harry Potter and the Chamber of Secrets,To Diagon Alley,Harry Potter,"Well, it's great to see you, too!",0.7574
1046,161,Harry Potter and the Chamber of Secrets,To Diagon Alley,Hermione Granger,What did you do to your glasses? Oculus reparo.,0.0
1047,162,Harry Potter and the Chamber of Secrets,To Diagon Alley,Harry Potter,I definitely need to remember that one.,0.4019
1048,163,Harry Potter and the Chamber of Secrets,To Diagon Alley,Rubeus Hagrid,"You'll be all right now then, Harry? Right. I'll leave you to it, then.",-0.0516
1049,164,Harry Potter and the Chamber of Secrets,To Diagon Alley,Hermione Granger,Ok! Bye!,0.0
1050,165,Harry Potter and the Chamber of Secrets,To Diagon Alley,Harry Potter,Thank you. Bye.,0.3612
1051,166,Harry Potter and the Chamber of Secrets,To Diagon Alley,Hermione Granger,Come on! Everyone's been so worried.,-0.4868
1052,167,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Other,Harry… Harry Potter…,0.0
1053,168,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Molly Weasley,"Oh, Harry! Thank goodness! We'd hoped you'd only gone one grate too far…",0.8264
1054,169,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Other,"Ladies and gentlemen, Mr. Gilderoy Lockhart.",0.0
1055,170,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Molly Weasley,Ah! Here he is!,0.0
1056,171,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Ron Weasley,Mum fancies him.,0.0
1057,172,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Photographer,"Make way there. Please! Let me by, madam. Thank you. Excuse me, little girl. This is for the Daily Prophet.",0.6588
1058,173,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Gilderoy Lockhart,It can't be- Harry Potter?,0.0
1059,174,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Photographer,"Harry Potter! Excuse me, madam.",0.1511
1060,175,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Gilderoy Lockhart,"Nice big smile, Harry. Together you and I rate the front page! Ladies and gentlemen, what an extraordinary moment this is. When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography, Magical Me,… which, incidentally is currently celebrating its 27th week atop the Daily Prophet bestseller list, he had no idea that he would, in fact, be leaving… with my entire collected works, free of charge. Now, ladies?",0.8858
1061,176,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Molly Weasley,"Harry, now you give me those, and I'll get them signed. All of you wait outside. That's it, Ron.",0.0
1062,177,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Draco Malfoy,"I'll bet you loved that, didn't you, Potter? Famous Harry Potter! Can't even go into a bookshop without making the front page.",0.636
1063,178,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Ginny Weasley,Leave him alone.,-0.296
1064,179,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Draco Malfoy,"Oh look, Potter. You've got yourself a girlfriend.",0.0
1065,180,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"Now, now Draco, play nicely. Mr. Potter… Lucius Malfoy. We meet at last. Forgive me, your scar is legend, as, of course, is the wizard who gave it to you.",0.7506
1066,181,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Harry Potter,Voldemort killed my parents. He was nothing more than a murderer.,-0.885
1067,182,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"Hmm. You must be very brave, to mention his name…or very foolish.",0.3182
1068,183,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Hermione Granger,Fear of a name only increase fear of the thing itself.,-0.6249
1069,184,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"And you must be… Miss Granger. Yes, Draco's told me all about you, and your parents. Muggles, aren't they? Let me see…red hair… vacant expressions… tatty second hand book. You must be the Weasleys.",0.6486
1070,185,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Arthur Weasley,"Children, it's mad in here! Let's go outside.",-0.5411
1071,186,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"Well, well, well. Weasley senior.",0.6486
1072,187,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Arthur Weasley,Lucius.,0.0
1073,188,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"Busy time at the Ministry, Arthur, all those extra raids? I do hope they're paying you overtime, but judging by the state of this, I'd say not. What's the use in being a disgrace to the name of wizard if they don't even pay you well for it.",-0.066
1074,189,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Arthur Weasley,"We have a very different idea about what disgraces the name of wizard, Malfoy.",0.0
1075,190,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,Clearly. Associating with Muggles… and I thought your family could sink no lower. I'll see you at work.,0.5556
1076,191,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Draco Malfoy,See you at school.,0.0
1077,192,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Arthur Weasley,10:58! Come on! Come on!,0.0
1078,193,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Molly Weasley,The train will be leaving any moment!,0.0
1079,194,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Arthur Weasley,"Fred, George, Percy you first!",0.0
1080,195,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Molly Weasley,Okay.,0.2263
1081,196,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Arthur Weasley,"After you, dear.",0.3818
1082,197,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Molly Weasley,"Come on, Ginny, we'll get you a seat. Hurry!",0.0
1083,198,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Let's go.,0.0
1084,199,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Aah!,0.0
1085,200,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Whao!,0.0
1086,201,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Station guard,Oy! What do you two think you're doing?,0.0
1087,202,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Sorry. Lost- lost control of the trolley. Why can't we get through?,-0.5994
1088,203,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,I don't know. The gateway's sealed its self for some reason.,0.0
1089,204,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,The train leaves at exactly eleven o'clock. We've missed it!,-0.3595
1090,205,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,"Harry, if we can't get through, maybe Mum and Dad can't get back!",0.0
1091,206,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Maybe we should just go and wait by the car.,0.0
1092,207,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,The car…,0.0
1093,208,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,"Ron, I should tell you, most Muggles aren't accustomed to seeing a flying car.",0.0
1094,209,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,"Uh, right. Okay.",0.2263
1095,210,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Oh no! The Invisibility Booster must be faulty!,-0.4374
1096,211,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,"Well come on, then. Let's go lower. We need to find the train.",-0.0258
1097,212,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Okay.,0.2263
1098,213,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Now all we need to do is catch up with the train.,0.0
1099,214,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,We can't be far behind.,0.0
1100,215,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Do you hear that?,0.0
1101,216,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,We must be gettin' close.,0.0
1102,217,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Hold on…,0.0
1103,218,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Aaahhh! Aaahhhh! Aaahhh!,0.0
1104,219,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Aaahhh! Aaahhhh! Aaahhh!,0.0
1105,220,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Wha-aahhh!,0.0
1106,221,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Harry! Hold on! Take my hand! Hold on!,0.6562
1107,222,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,I'm trying. Your hand's all sweaty.,0.0
1108,223,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,I think we found the train.,0.0
1109,224,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Yeah.,0.296
1110,225,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Welcome home.,0.4588
1111,226,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Up! Up!,0.0
1112,227,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,It's not working! Ahhhh!,0.0
1113,228,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Up! Up! Ron! Mind that tree!,0.0
1114,229,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Stop! Stop! Stop! Huh… Aahh!,-0.7762
1115,230,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Ahh!,0.0
1116,231,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Ahh-ha-ha! My wand! Look at my wand!,0.0
1117,232,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Be thankful it's not your neck.,0.5719
1118,233,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,What's happening?,0.0
1119,234,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,I don't know.,0.0
1120,235,Harry Potter and the Chamber of Secrets,Whomping Willow,Whomping Willow,Argg!,0.0
1121,236,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Ahh! Ahh! Ahh!,0.0
1122,237,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Ahh! Ahh! Ahh!,0.0
1123,238,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Ahh! Ahhhh! Ahh!,0.0
1124,239,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Aaaahhhh!,0.0
1125,240,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Aaaahhhh!,0.0
1126,241,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Come on! Go! Fast!,0.0
1127,242,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Ahh!,0.0
1128,243,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Ahh!,0.0
1129,244,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,"Scabbers, you OK? The car! …Dad's gonna kill me.",-0.7177
1130,245,Harry Potter and the Chamber of Secrets,Not expelled…today,Harry Potter,"See you, Hedwig. So, a house elf shows up in my bedroom, we can't get through the barrier to platform nine and three-quarters, we almost get killed by a tree… clearly someone doesn't want me here this year.",-0.5013
1131,246,Harry Potter and the Chamber of Secrets,Not expelled…today,Argus Filch,"Well, take a good look lads. This night might well be the last you spend in this castle. Hm. Oh, dear, we are in trouble.",0.7184
1132,247,Harry Potter and the Chamber of Secrets,Not expelled…today,Severus Snape,You were seen by no less than seven Muggles. Do you have any idea how serious this is? You have risked the exposure of our world. Not to mention the damage you inflicted on a Whomping Willow that's been on these grounds since before you were born.,-0.765
1133,248,Harry Potter and the Chamber of Secrets,Not expelled…today,Ron Weasley,"Honestly, Professor Snape, I think it did more damage to us.",-0.1263
1134,249,Harry Potter and the Chamber of Secrets,Not expelled…today,Severus Snape,"Silence! I assure you, that were you in Slytherin, and your fate rested with me, the both of you would be on the train home- tonight. As it is…",0.4003
1135,250,Harry Potter and the Chamber of Secrets,Not expelled…today,Albus Dumbledore,…They are not.,0.0
1136,251,Harry Potter and the Chamber of Secrets,Not expelled…today,Harry Potter,Professor Dumbledore. Professor McGonagall.,0.0
1137,252,Harry Potter and the Chamber of Secrets,Not expelled…today,Severus Snape,"Headmaster, these boys have flouted the Decree for the Restriction of Underage Wizardry. As such--",-0.2732
1138,253,Harry Potter and the Chamber of Secrets,Not expelled…today,Albus Dumbledore,"I am well aware of our bylaws, Severus, having written quite a few of them myself. However, as head of Gryffindor house, it is for Professor McGonagall to determine the appropriate action.",0.2732
1139,254,Harry Potter and the Chamber of Secrets,Not expelled…today,Ron Weasley,"We'll go and get our stuff, then.",0.0
1140,255,Harry Potter and the Chamber of Secrets,Not expelled…today,Minerva McGonagall,"What are you talking about, Mr. Weasley?",0.0
1141,256,Harry Potter and the Chamber of Secrets,Not expelled…today,Ron Weasley,"You're going to expel us, aren't you?",-0.4404
1142,257,Harry Potter and the Chamber of Secrets,Not expelled…today,Minerva McGonagall,"Not today, Mr. Weasley. But, I must impress on both of you the seriousness of what you have done. I will be writing to your families tonight, and you will both receive detention.",0.0772
1143,258,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Morning, everyone! Good morning, everyone!",0.5399
1144,259,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,All,"Good morning, Professor Sprout!",0.4926
1145,260,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Welcome to Greenhouse Three, Second Years. Now, gather around, everyone. Today, we are going to repot Mandrakes. Who here can tell me the properties of the Mandrake root? Yes, Miss Granger.",0.6249
1146,261,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Hermione Granger,"Mandrake, or Mandragora, is used to return those who have been Petrified to their original state. It's also quite dangerous. The Mandrake's cry is fatal to anyone who hears it.",-0.9041
1147,262,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Excellent! Ten points to Gryffindor! Now, as our Mandrakes are still only seedlings their cries won't kill you yet. But they could knock you out for several hours, which is why I have given each of you a pair of earmuffs for auditory protection. So, could you please put them on, right away? Quickly! Flaps tight down, and watch me closely. You grasp your Mandrake firmly, you pull it sharply up out of the pot…",0.7714
1148,263,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,All,Aah! Ooh!,0.0
1149,264,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,Got it? And… now you dunk it down into the other pot and pour a little sprinkling of soil to keep him warm.,0.2263
1150,265,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Neville Longbottom,Uhh…,0.0
1151,266,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Uh, Longbottom's been neglecting his earmuffs.",-0.4019
1152,267,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Seamus Finnigan,"No, ma'am, he's just fainted.",0.0
1153,268,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Yes, well, just leave him there. Right! On we go! Plenty of pots to go around. Grasp your Mandrake, and pull it up!",0.6679
1154,269,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Other,There's Nearly-Headless-Nick!,0.0
1155,270,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Nearly Headless Nick,"Hello, Percy. Miss Clearwater.",-0.1531
1156,271,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Percy Weasley,"Hello, Sir Nicholas!",0.0
1157,272,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Ron Weasley,"Huhh… Say it, I'm doomed.",-0.6369
1158,273,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Harry Potter,You're doomed.,-0.6369
1159,274,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Collin Creevey,"Hi, Harry!  I'm Colin Creevy! I'm in Gryffindor, too!",0.0
1160,275,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Harry Potter,"Oh- Hi, Colin. Nice to meet you.",0.4215
1161,276,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Dean Thomas,Ron? Is that your owl?,0.0
1162,277,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Students,"Ha-ha… Ha, ha.",0.0
1163,278,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Ron Weasley,"Bloody bird's a menace. Oh, no!",-0.75
1164,279,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Seamus Finnigan,"Look, everyone! Weasley's got himself a Howler!",0.0
1165,280,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Neville Longbottom,"Go on, Ron. I ignored one from my gran once. It was horrible.",-0.7003
1166,281,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Howler,"RONALD WEASLEY! HOW DARE YOU STEAL THAT CAR! I AM ABSOLUTLEY DISGUSTED! YOUR FATHER'S NOW FACING AN INQUIRY AT WORK, AND IT'S ENTIRELY YOUR FAULT! IF YOU PUT ANOTHER TOE OUT OF LINE, WE'LL BRING YOU STRAIGHT HOME! Oh, and Ginny, dear, congratulations on making Gryffindor. Your father and I are so proud. Thhhhbt!",-0.3648
1167,282,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,"Let me introduce you to your new Defense Against the Dark Arts teacher… me! Gilderoy Lockhart, Order of Merlin, Third Class, Honorary Member of the Dark Force Defense League, and five-times winner of Witch Weekly's Most-Charming-Smile Award- but I don't talk about that. I didn't get rid of the Bandon Banshee by smiling at him. Huh, huh, huh… hee, hee… Now- be warned! It is my job to arm you against the foulest creatures known to wizardkind. You may find yourselves facing your worst fears in this room. Know only that no harm can befall you whilst I am here. I must ask you not to scream. It might… provoke them!",-0.3948
1168,283,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Seamus Finnigan,Cornish pixies?,0.0
1169,284,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,Freshly caught Cornish pixies!,0.0
1170,285,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Seamus Finnigan,"Ha, ha. Ha, ha, ha…",0.0
1171,286,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,"Laugh if you will, Mr. Finnigan, but pixies can be devilish tricky little blighters. Let's see what you make of them, ha! Come on now- round them up, round them up, they're only pixies!",-0.6524
1172,287,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Pixie,Just stay there!,0.0
1173,288,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Neville Longbottom,Ah! Aaah! Aaah! Aah- aah!,0.0
1174,289,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Neville Longbottom,"Hey, get me down!",0.0
1175,290,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Hermione Granger,Get off me!,0.0
1176,291,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Harry Potter,Stop! Stop! Hold still!,-0.6458
1177,292,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,Peskipiksi pesternomi!,0.0
1178,293,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Pixie,"Hee, hee, hee!",0.0
1179,294,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Pixie,Yeeee-haw!,0.0
1180,295,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Pixie,Wheee!,0.0
1181,296,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,I'll ask you three to just nip the rest of them back into their cage!,0.0
1182,297,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Ron Weasley,What do we do now?,0.0
1183,298,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Hermione Granger,Immobulus!,0.0
1184,299,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Neville Longbottom,Why is it always me?,0.0
1185,300,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Oliver Wood,"I spent the summer devising a whole new Quidditch program. We are gonna train earlier, harder, and longer. What- I don't believe it! Where do you think you're goin', Flint?",0.0
1186,301,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Marcus Flint,Quidditch practice.,0.0
1187,302,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Oliver Wood,I booked the pitch for Gryffindor today.,0.0
1188,303,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Marcus Flint,"Easy, Wood. I've got a note.",0.4404
1189,304,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Ron Weasley,Uh-oh. I smell trouble.,-0.4019
1190,305,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Oliver Wood,"“I, Professor Severus Snape, do hereby give the Slytherin team permission to practice today, owing to the need to train their new Seeker.” You've got a new Seeker. Who?",0.0
1191,306,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,Malfoy?,0.0
1192,307,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Draco Malfoy,That's right. And that's not all that new this year.,0.0
1193,308,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Ron Weasley,Those are Nimbus Two Thousand and Ones! How did you get those?,0.0
