,name,birth,death,species,ancestry,gender,hair_color,eye_color,patronus,house,associated_groups,books_featured_in,nb_books_featured_in,wood,length,core,Note,id,label,link,link_image,connection_label,nb_associations,nb_interactions,image_name
33,Fat Friar,10th century,Pre 1988,Ghost,,Male,Brown,,,Hufflepuff,"['Hogwarts School of Witchcraft and Wizardry', 'Hufflepuff']","[1, 2, 4, 5, 6, 7]",6,,,,,158,Fat Friar,Fat_Friar,http://img2.wikia.nocookie.net/__cb20110629225718/harrypotter/images/a/a7/Fat_friar_hpps.jpg,"['Albus Dumbledore', 'Alecto Carrow', 'Amycus Carrow', 'Bloody Baron', 'Dolores Umbridge', 'Ernest Macmillan', 'Hannah Abbott', 'Harry Potter', 'Kingsley Shacklebolt', 'Minerva McGonagall', 'Nicholas de Mimsy-Porpington', 'Peeves', 'Severus Snape']",2,13,fat_friar
34,Fawkes,Before 1938,Immortal. Dies and is reborn from the ashes. Death dates include:,Phoenix,,Male,,Black,,,"['Albus Dumbledore', 'Harry Potter', 'Order of the Phoenix']","[1, 2, 4, 5, 6, 7]",6,,,,,160,Fawkes,Fawkes,http://img3.wikia.nocookie.net/__cb20121101213604/harrypotter/images/4/45/ChamberFawkes.png,"['Albus Dumbledore', 'Arthur Weasley', 'Cedric Diggory', 'Cornelius Fudge', 'Garrick Ollivander', 'Gilderoy Lockhart', 'Ginny Weasley', 'Harry Potter', 'Molly Weasley', 'Nagini', 'Sirius Black']",3,11,fawkes
35,Argus Filch,Pre 1951,,Human,Squib,Male,Grey (balding),Pale,,,['Hogwarts School of Witchcraft and Wizardry'],"[1, 2, 3, 4, 5, 6, 7]",7,,,,,46,Argus Filch,Argus_Filch,http://img2.wikia.nocookie.net/__cb20100702232635/harrypotter/images/c/c8/Mainfulcd.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Alecto Carrow', 'Amycus Carrow', 'Arabella Figg', 'Aragog', 'Arthur Weasley', 'Bartemius Crouch Junior', 'Bartemius Crouch Senior', 'Bloody Baron', 'Cedric Diggory', 'Cho Chang', 'Colin Creevey', 'Cornelius Fudge', 'Cuthbert Binns', 'Dean Thomas', 'Dolores Umbridge', 'Draco Malfoy', 'Fat Lady', 'Filius Flitwick', 'Fluffy', 'Fred Weasley', 'George Weasley', 'Gilderoy Lockhart', 'Ginny Weasley', 'Harry Potter', 'Hermione Granger', 'Horace Slughorn', 'Igor Karkaroff', 'Irma Pince', 'James Potter', 'Justin Finch-Fletchley', 'Katie Bell', 'Lee Jordan', 'Luna Lovegood', 'Marietta Edgecombe', 'Minerva McGonagall', 'Mrs. Norris', 'Neville Longbottom', 'Nicholas de Mimsy-Porpington', 'Nicolas Flamel', 'Olympe Maxime', 'Padma Patil', 'Parvati Patil', 'Peeves', 'Percy Weasley', 'Peter Pettigrew', 'Pomona Sprout', 'Poppy Pomfrey', 'Quirinus Quirrell', 'Remus Lupin', 'Ronald Weasley', 'Rubeus Hagrid', 'Severus Snape', 'Sirius Black', 'Sybill Trelawney', 'Vincent Crabbe']",1,57,argus_filch
36,Justin Finch-Fletchley,between 1 September 1979 and 31 August 1980,,Human,Muggle-born,Male,Red,,Non-corporeal,Hufflepuff,"['Hogwarts School of Witchcraft and Wizardry', 'Hufflepuff', ""Dumbledore's Army""]","[1, 2, 4, 5]",4,,,,,47,Justin Finch-Fletchley,Justin_Finch-Fletchley,http://img4.wikia.nocookie.net/__cb20100404201307/harrypotter/images/c/c4/Justin_Finch-Fletchley.jpg,"['Albus Dumbledore', 'Alicia Spinnet', 'Angelina Johnson', 'Anthony Goldstein', 'Argus Filch', 'Cedric Diggory', 'Cho Chang', 'Colin Creevey', 'Dean Thomas', 'Dolores Umbridge', 'Draco Malfoy', 'Ernest Macmillan', 'Filius Flitwick', 'Fred Weasley', 'George Weasley', 'Gilderoy Lockhart', 'Ginny Weasley', 'Gregory Goyle', 'Hannah Abbott', 'Harry Potter', 'Hermione Granger', 'Katie Bell', 'Lee Jordan', 'Luna Lovegood', 'Neville Longbottom', 'Nicholas de Mimsy-Porpington', 'Parvati Patil', 'Peeves', 'Pomona Sprout', 'Poppy Pomfrey', 'Ronald Weasley', 'Rubeus Hagrid', 'Seamus Finnigan', 'Severus Snape', 'Susan Bones', 'Terry Boot', 'Vincent Crabbe', 'Zacharias Smith']",3,38,justin_finch-fletchley
37,Seamus Finnigan,between 1 September 1979 and 31 August 1980,,Human,Half-blood,Male,Sandy,,Fox,Gryffindor,"[""Dumbledore's Army"", 'Hogwarts School of Witchcraft and Wizardry', 'Gryffindor']","[1, 2, 3, 4, 5, 6, 7]",7,,,,,48,Seamus Finnigan,Seamus_Finnigan,http://img3.wikia.nocookie.net/__cb20110813175246/harrypotter/images/9/9c/Seamus_FinniganDH2.jpg,"['Aberforth Dumbledore', 'Albus Dumbledore', 'Alicia Spinnet', 'Angelina Johnson', 'Anthony Goldstein', 'Arthur Weasley', 'Cho Chang', 'Colin Creevey', 'Cuthbert Binns', 'Dean Thomas', 'Dobby', 'Dolores Umbridge', 'Draco Malfoy', 'Ernest Macmillan', 'Fat Lady', 'Filius Flitwick', 'Fred Weasley', 'George Weasley', 'Gilderoy Lockhart', 'Ginny Weasley', 'Hannah Abbott', 'Harry Potter', 'Hermione Granger', 'Justin Finch-Fletchley', 'Katie Bell', 'Lavender Brown', 'Lee Jordan', 'Luna Lovegood', 'Marietta Edgecombe', 'Michael Corner', 'Minerva McGonagall', 'Neville Longbottom', 'Nicholas de Mimsy-Porpington', 'Parvati Patil', 'Percy Weasley', 'Pomona Sprout', 'Poppy Pomfrey', 'Quirinus Quirrell', 'Remus Lupin', 'Rita Skeeter', 'Rolanda Hooch', 'Ronald Weasley', 'Severus Snape', 'Sir Cadogan', 'Sirius Black', 'Susan Bones', 'Sybill Trelawney', 'Terry Boot', 'Zacharias Smith']",3,49,seamus_finnigan
38,Firenze,,,Centaur,,Male,White-blond,Astonishingly blue,,,['Hogwarts School of Witchcraft and Wizardry'],"[1, 5, 6, 7]",4,,,,,161,Firenze,Firenze,http://img2.wikia.nocookie.net/__cb20061208054304/harrypotter/images/3/38/Firenzeinharrypotter.jpg,"['Albus Dumbledore', 'Bane', 'Dean Thomas', 'Dolores Umbridge', 'Draco Malfoy', 'Harry Potter', 'Hermione Granger', 'Lavender Brown', 'Minerva McGonagall', 'Neville Longbottom', 'Parvati Patil', 'Poppy Pomfrey', 'Quirinus Quirrell', 'Ronald Weasley', 'Rubeus Hagrid', 'Severus Snape', 'Sybill Trelawney']",1,17,firenze
39,Nicolas Flamel,Between 1300 and 1326,Between 1992 and 1996 (aged between 665 and 696),Human,,Male,White,Dark,,,['Albus Dumbledore'],"[1, 7]",2,,,,,49,Nicolas Flamel,Nicolas_Flamel,http://img2.wikia.nocookie.net/__cb20130617023626/harrypotter/images/7/78/Nicolas_Flamel.jpg,"['Albus Dumbledore', 'Argus Filch', 'Fluffy', 'Harry Potter', 'Hermione Granger', 'Irma Pince', 'Minerva McGonagall', 'Neville Longbottom', 'Quirinus Quirrell']",1,9,nicolas_flamel
40,Mundungus Fletcher,"Before 1962, Great Britain or Ireland",,Human,Half-blood,Male,Ginger,Brown,Non-corporeal,,"['Order of the Phoenix', 'Albus Dumbledore', 'Harry Potter', 'Hogwarts School of Witchcraft and Wizardry']","[2, 4, 5, 6, 7]",5,,,,,50,Mundungus Fletcher,Mundungus_Fletcher,http://img2.wikia.nocookie.net/__cb20111211234051/harrypotter/images/8/8e/Mundungus.png,"['Aberforth Dumbledore', 'Alastor Moody', 'Albus Dumbledore', 'Arabella Figg', 'Arthur Weasley', 'Dolores Umbridge', 'Harry Potter', 'Hermione Granger', 'Kreacher', 'Molly Weasley', 'Nymphadora Tonks', 'Percy Weasley', 'Peter Pettigrew', 'Remus Lupin', 'Ronald Weasley', 'Salazar Slytherin', 'Severus Snape', 'Sirius Black']",4,18,mundungus_fletcher
41,Filius Flitwick,17 October 1958 or earlier,,Human,Part-Goblin,Male,White,,Non-corporeal,Ravenclaw,"['Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw']","[1, 2, 3, 4, 5, 6, 7]",7,,,,,51,Filius Flitwick,Filius_Flitwick,http://img1.wikia.nocookie.net/__cb20110628141204/harrypotter/images/4/4b/Flitwickarmourbattle.png,"['Alastor Moody', 'Albus Dumbledore', 'Alecto Carrow', 'Alicia Spinnet', 'Amycus Carrow', 'Anthony Goldstein', 'Antonin Dolohov', 'Argus Filch', 'Bartemius Crouch Junior', 'Buckbeak', 'Cedric Diggory', 'Colin Creevey', 'Cornelius Fudge', 'Dolores Umbridge', 'Draco Malfoy', 'Fred Weasley', 'George Weasley', 'Gilderoy Lockhart', 'Harry Potter', 'Helena Ravenclaw', 'Hermione Granger', 'Horace Slughorn', 'Irma Pince', 'James Potter', 'Justin Finch-Fletchley', 'Lee Jordan', 'Luna Lovegood', 'Madam Rosmerta', 'Minerva McGonagall', 'Neville Longbottom', 'Nicholas de Mimsy-Porpington', 'Nymphadora Tonks', 'Peter Pettigrew', 'Pomona Sprout', 'Poppy Pomfrey', 'Quirinus Quirrell', 'Remus Lupin', 'Rolanda Hooch', 'Rubeus Hagrid', 'Seamus Finnigan', 'Severus Snape', 'Sirius Black', 'Sybill Trelawney', 'Trevor']",2,44,filius_flitwick
42,Fluffy,Pre 1991,,Dog,,Male,Brown,Brown,,,['Hogwarts School of Witchcraft and Wizardry'],"[1, 2, 4]",3,,,,,162,Fluffy,Fluffy,http://img3.wikia.nocookie.net/__cb20120817171054/harrypotter/images/f/f7/Fluffy.png,"['Argus Filch', 'Draco Malfoy', 'Fat Lady', 'Harry Potter', 'Hermione Granger', 'Lord Voldemort', 'Neville Longbottom', 'Nicolas Flamel', 'Norberta', 'Quirinus Quirrell', 'Rubeus Hagrid', 'Severus Snape']",1,12,fluffy
43,Cornelius Fudge,Pre 1964,,Human,Pure-blood or Half-blood,Male,Grey,,Non-corporeal,,"['British Ministry of Magic', 'Hogwarts School of Witchcraft and Wizardry']","[1, 2, 3, 4, 5, 6, 7]",7,,,,,52,Cornelius Fudge,Cornelius_Fudge,http://img4.wikia.nocookie.net/__cb20131029103809/harrypotter/images/8/8d/INb_P9CXong.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Amelia Bones', 'Arabella Figg', 'Aragog', 'Argus Filch', 'Arthur Weasley', 'Bartemius Crouch Junior', 'Bartemius Crouch Senior', 'Bellatrix Lestrange', 'Buckbeak', 'Cedric Diggory', 'Dobby', 'Dolores Umbridge', 'Draco Malfoy', 'Fawkes', 'Filius Flitwick', 'Gilderoy Lockhart', 'Harry Potter', 'Kingsley Shacklebolt', 'Lord Voldemort', 'Lucius Malfoy', 'Ludovic Bagman', 'Luna Lovegood', 'Madam Rosmerta', 'Marietta Edgecombe', 'Minerva McGonagall', 'Narcissa Malfoy', 'Olympe Maxime', 'Peeves', 'Percy Weasley', 'Peter Pettigrew', 'Rita Skeeter', 'Ronald Weasley', 'Rubeus Hagrid', 'Rufus Scrimgeour', 'Severus Snape', 'Sirius Black', 'Stanley Shunpike', 'Sturgis Podmore', 'Tiberius Ogden', 'Wilhelmina Grubbly-Plank', 'Winky', 'Xenophilius Lovegood']",2,44,cornelius_fudge
44,Marvolo Gaunt,Pre 1890,Between 1925 and 1928,Human,Pure-blood,Male,Grey,Bright brown,,,[],"[2, 6, 7]",3,,,,,53,Marvolo Gaunt,Marvolo_Gaunt,http://img1.wikia.nocookie.net/__cb20130321104030/prettylittleliars/images/d/d7/Length-unknown.png,"['Albus Dumbledore', 'Bob Ogden', 'Godric Gryffindor', 'Lord Voldemort', 'Mary Riddle', 'Merope Gaunt', 'Morfin Gaunt', 'Salazar Slytherin', 'Thomas Riddle', 'Tom Riddle Senior']",0,10,marvolo_gaunt
45,Morfin Gaunt,c. 1900,pre 1996,Human,Pure-blood,Male,Dark,Dark,,,[],"[6, 7]",2,,,,,55,Morfin Gaunt,Morfin_Gaunt,http://img3.wikia.nocookie.net/__cb20080120192721/harrypotter/images/d/d3/Morfin.jpg,"['Albus Dumbledore', 'Bob Ogden', 'Frank Bryce', 'Lord Voldemort', 'Marvolo Gaunt', 'Mary Riddle', 'Merope Gaunt', 'Salazar Slytherin', 'Thomas Riddle', 'Tom Riddle Senior']",0,10,morfin_gaunt
46,Anthony Goldstein,between 1 September 1979 and 31 August 1980,,Human,Half-blood,Male,Blonde,Grey,Non-corporeal,Ravenclaw,"['Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw', ""Dumbledore's Army""]","[5, 7]",2,,,,,56,Anthony Goldstein,Anthony_Goldstein,http://img1.wikia.nocookie.net/__cb20121125150630/harrypotter/images/b/b9/AnthonyGoldstein.png,"['Albus Dumbledore', 'Alicia Spinnet', 'Angelina Johnson', 'Cho Chang', 'Colin Creevey', 'Dean Thomas', 'Dolores Umbridge', 'Filius Flitwick', 'Fred Weasley', 'George Weasley', 'Harry Potter', 'Justin Finch-Fletchley', 'Katie Bell', 'Lee Jordan', 'Luna Lovegood', 'Michael Corner', 'Padma Patil', 'Parvati Patil', 'Ronald Weasley', 'Seamus Finnigan', 'Susan Bones', 'Terry Boot']",3,22,anthony_goldstein
47,Goyle Sr,,,Human,Pure-blood or Half-blood,Male,,,None,Slytherin,"['Lord Voldemort', 'Death Eaters', 'Slytherin', 'Hogwarts School of Witchcraft and Wizardry']",[4],1,,,,,57,Goyle Sr,Goyle,http://img1.wikia.nocookie.net/__cb20100214191032/harrypotter/images/2/2c/Goyledad.JPG,"['Albus Dumbledore', 'Amelia Bones', 'Draco Malfoy', 'Gregory Goyle', 'Horace Slughorn', 'Lord Voldemort', 'Severus Snape', 'Susan Bones', 'Vincent Crabbe']",4,9,goyle_sr
48,Gregory Goyle,between 1 September 1979 and 31 August 1980,,Human,Pure-blood,Male,Brown,,None,Slytherin,"['Hogwarts School of Witchcraft and Wizardry', 'Slytherin', 'Lord Voldemort']","[1, 2, 3, 4, 5, 6, 7]",7,,,,,58,Gregory Goyle,Gregory_Goyle,http://img3.wikia.nocookie.net/__cb20110415153922/harrypotter/images/3/3d/Gregory_Goyle-DH2.jpg,"['Amelia Bones', 'Cedric Diggory', 'Cho Chang', 'Dolores Umbridge', 'Draco Malfoy', 'Ernest Macmillan', 'Goyle Sr', 'Hannah Abbott', 'Harry Potter', 'Hermione Granger', 'Justin Finch-Fletchley', 'Lucius Malfoy', 'Millicent Bulstrode', 'Myrtle Warren', 'Neville Longbottom', 'Peter Pettigrew', 'Remus Lupin', 'Ronald Weasley', 'Rubeus Hagrid', 'Severus Snape', 'Sirius Black', 'Susan Bones', 'Terry Boot', 'Theodore Nott', 'Vincent Crabbe', 'Vincent Crabbe senior']",3,26,gregory_goyle
49,Grawp,Post 1931,,Giant,Giant,Male,Brown,Brown-green,,,[],"[5, 6, 7]",3,,,,,163,Grawp,Grawp,http://img4.wikia.nocookie.net/__cb20090304184852/harrypotter/images/e/ee/34272-26957.gif,"['Albus Dumbledore', 'Buckbeak', 'Fang', 'Harry Potter', 'Hermione Granger', 'Olympe Maxime', 'Rubeus Hagrid']",0,7,grawp
50,Mykew Gregorovitch,In or before 1909,"2 September, 1997, Gregorovitch Zauberstäbe",Human,,Male,White,,Non-corporeal,,[],"[4, 7]",2,,,,,60,Mykew Gregorovitch,Mykew Gregorovitch,http://img3.wikia.nocookie.net/__cb20101127032646/harrypotter/images/7/73/Mykew Gregorovitch_Deathly_Hallows_promotional_image.jpg,"['Albus Dumbledore', 'Garrick Ollivander', 'Gellert Grindelwald', 'Harry Potter', 'Lord Voldemort', 'Viktor Krum']",0,6,mykew_gregorovitch
51,Fenrir Greyback,Pre 1945,,Human-werevolf,,Male,Grey,,None,,['Lord Voldemort'],"[3, 6, 7]",3,,,,,61,Fenrir Greyback,Fenrir_Greyback,http://img1.wikia.nocookie.net/__cb20100721162120/harrypotter/images/b/b2/Greybackthewerewolf.jpg,"['Albus Dumbledore', 'Amycus Carrow', 'Arthur Weasley', 'Bellatrix Lestrange', 'Bill Weasley', 'Dean Thomas', 'Dirk Cresswell', 'Dobby', 'Draco Malfoy', 'Fleur Delacour', 'Garrick Ollivander', 'Ginny Weasley', 'Griphook', 'Harry Potter', 'Hermione Granger', 'Kingsley Shacklebolt', 'Lavender Brown', 'Lord Voldemort', 'Lucius Malfoy', 'Narcissa Malfoy', 'Neville Longbottom', 'Nymphadora Tonks', 'Parvati Patil', 'Poppy Pomfrey', 'Remus Lupin', 'Ronald Weasley', 'Rubeus Hagrid', 'Severus Snape', 'Sybill Trelawney', 'Ted Tonks']",1,30,fenrir_greyback
52,Gellert Grindelwald,Between summer 1882 and summer 1883,"March, 1998 (aged around 115)",Human,Pure-blood or Half-blood,Male,Blond,Blue,,,[],"[1, 7]",2,,,,,62,Gellert Grindelwald,Gellert_Grindelwald,http://img2.wikia.nocookie.net/__cb20120111201035/harrypotter/images/5/53/GellertGrindelwaldHarryPotterPagetoScreen.JPG,"['Aberforth Dumbledore', 'Albus Dumbledore', 'Ariana Dumbledore', 'Bathilda Bagshot', 'Dolores Umbridge', 'Elphias Doge', 'Mykew Gregorovitch', 'Harry Potter', 'Hermione Granger', 'Ignotus Peverell', 'Kendra Dumbledore', 'Lord Voldemort', 'Viktor Krum', 'Xenophilius Lovegood']",0,14,gellert_grindelwald
53,Griphook,Pre-1990,"1 May, 1998",Goblin,,Male,Silver,Black,,,[],"[1, 7]",2,,,,,164,Griphook,Griphook,http://img4.wikia.nocookie.net/__cb20111116221213/harrypotter/images/e/e6/Griphook_profile.png,"['Bellatrix Lestrange', 'Bill Weasley', 'Dean Thomas', 'Dirk Cresswell', 'Dobby', 'Draco Malfoy', 'Fenrir Greyback', 'Fleur Delacour', 'Godric Gryffindor', 'Harry Potter', 'Hermione Granger', 'Lucius Malfoy', 'Luna Lovegood', 'Narcissa Malfoy', 'Ronald Weasley', 'Rubeus Hagrid', 'Ted Tonks']",0,17,griphook
54,Godric Gryffindor,Pre 976,11th century (possibly),Human,Pure-blood or Half-blood,Male,Red,Green,Non-corporeal,Gryffindor,"['Hogwarts School of Witchcraft and Wizardry', 'Gryffindor']","[1, 2, 5, 7]",4,,,,,64,Godric Gryffindor,Godric_Gryffindor,http://img1.wikia.nocookie.net/__cb20140615154246/harrypotter/images/3/38/PR_007_003-e1313269822422.jpg,"['Albus Dumbledore', 'Griphook', 'Harry Potter', 'Helga Hufflepuff', 'Luna Lovegood', 'Marvolo Gaunt', 'Nagini', 'Neville Longbottom', 'Rowena Ravenclaw', 'Salazar Slytherin']",2,10,godric_gryffindor
55,Rubeus Hagrid,6 December 1928,,Half-Human/Half-Giant,Part-Human (Half-giant),Male,Black,Black,None,Gryffindor,"['Hogwarts School of Witchcraft and Wizardry', 'Gryffindor', 'Order of the Phoenix', 'Albus Dumbledore', 'Harry Potter']","[1, 2, 3, 4, 5, 6, 7]",7,,,,,65,Rubeus Hagrid,Rubeus_Hagrid,http://img2.wikia.nocookie.net/__cb20110514095128/harrypotter/images/a/a3/Odfhq2_%2825%29hh.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Andromeda Tonks', 'Aragog', 'Argus Filch', 'Arthur Weasley', 'Bane', 'Bartemius Crouch Junior', 'Bartemius Crouch Senior', 'Buckbeak', 'Cedric Diggory', 'Charlie Weasley', 'Cornelius Fudge', 'Crookshanks', 'Dean Thomas', 'Dedalus Diggle', 'Dolores Umbridge', 'Draco Malfoy', 'Dudley Dursley', 'Fang', 'Fenrir Greyback', 'Filius Flitwick', 'Firenze', 'Fleur Delacour', 'Fluffy', 'George Weasley', 'Gilderoy Lockhart', 'Ginny Weasley', 'Grawp', 'Gregory Goyle', 'Griphook', 'Harry Potter', 'Hedwig', 'Helena Ravenclaw', 'Hermione Granger', 'Horace Slughorn', 'Igor Karkaroff', 'James Potter', 'Justin Finch-Fletchley', 'Katie Bell', 'Lavender Brown', 'Lee Jordan', 'Lord Voldemort', 'Lucius Malfoy', 'Luna Lovegood', 'Minerva McGonagall', 'Myrtle Warren', 'Molly Weasley', 'Mrs. Norris', 'Neville Longbottom', 'Nicholas de Mimsy-Porpington', 'Norberta', 'Nymphadora Tonks', 'Olympe Maxime', 'Pansy Parkinson', 'Parvati Patil', 'Percy Weasley', 'Peter Pettigrew', 'Petunia Dursley', 'Pomona Sprout', 'Poppy Pomfrey', 'Quirinus Quirrell', 'Remus Lupin', 'Rita Skeeter', 'Ronald Weasley', 'Salazar Slytherin', 'Septima Vector', 'Severus Snape', 'Sirius Black', 'Sybill Trelawney', 'Ted Tonks', 'Vernon Dursley', 'Wilhelmina Grubbly-Plank']",5,73,rubeus_hagrid
56,Lee Jordan,Between 1 September 1977 and 31 August 1978,,Human,Pure-blood or Half-blood,Male,Black (dreadlocks),Brown,,Gryffindor,"['Hogwarts School of Witchcraft and Wizardry', 'Gryffindor', ""Dumbledore's Army"", 'Order of the Phoenix']","[1, 2, 3, 4, 5, 6, 7]",7,,,,,69,Lee Jordan,Lee_Jordan,http://img1.wikia.nocookie.net/__cb20141103134803/harrypotter/images/8/8d/Leejordan_1.PNG,"['Albus Dumbledore', 'Alicia Spinnet', 'Angelina Johnson', 'Anthony Goldstein', 'Argus Filch', 'Cedric Diggory', 'Cho Chang', 'Colin Creevey', 'Dean Thomas', 'Dolores Umbridge', 'Draco Malfoy', 'Ernest Macmillan', 'Filius Flitwick', 'Fleur Delacour', 'Fred Weasley', 'George Weasley', 'Ginny Weasley', 'Hannah Abbott', 'Harry Potter', 'Hermione Granger', 'Justin Finch-Fletchley', 'Katie Bell', 'Kingsley Shacklebolt', 'Lavender Brown', 'Lord Voldemort', 'Ludovic Bagman', 'Luna Lovegood', 'Marietta Edgecombe', 'Michael Corner', 'Minerva McGonagall', 'Nagini', 'Neville Longbottom', 'Oliver Wood', 'Parvati Patil', 'Pomona Sprout', 'Remus Lupin', 'Ronald Weasley', 'Rubeus Hagrid', 'Seamus Finnigan', 'Severus Snape', 'Sirius Black', 'Susan Bones', 'Terry Boot', 'Zacharias Smith']",4,44,lee_jordan
57,Igor Karkaroff,pre 1965,"24 June, 1995 – 31 July, 1996",Human,Pure-blood or Half-blood,Male,Silver (formerly black),Blue,None,,[],"[4, 5, 6, 7]",4,,,,,70,Igor Karkaroff,Igor_Karkaroff,http://img1.wikia.nocookie.net/__cb20100724115703/harrypotter/images/4/4e/IgorKarkaroff.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Antonin Dolohov', 'Argus Filch', 'Augustus Rookwood', 'Bartemius Crouch Junior', 'Bartemius Crouch Senior', 'Harry Potter', 'Hermione Granger', 'Lord Voldemort', 'Lucius Malfoy', 'Minerva McGonagall', 'Olympe Maxime', 'Peter Pettigrew', 'Remus Lupin', 'Rita Skeeter', 'Rubeus Hagrid', 'Severus Snape', 'Sirius Black', 'Viktor Krum']",0,20,igor_karkaroff
58,Kreacher,Between 1351 and 1979,"Between 1 September, 2017 and 2645 (aged 666)",House-elf,,Male,White,,,Slytherin,"['Slytherin', 'Hogwarts School of Witchcraft and Wizardry']","[5, 6, 7]",3,,,,,166,Kreacher,Kreacher,http://img2.wikia.nocookie.net/__cb20100621114028/harrypotter/images/a/a0/Krech.jpg,"['Albus Dumbledore', 'Arthur Weasley', 'Bellatrix Lestrange', 'Buckbeak', 'Dobby', 'Draco Malfoy', 'Harry Potter', 'Hermione Granger', 'Lord Voldemort', 'Mundungus Fletcher', 'Narcissa Malfoy', 'Nymphadora Tonks', 'Peeves', 'Regulus Black', 'Ronald Weasley', 'Salazar Slytherin', 'Sirius Black', 'Winky']",2,18,kreacher
59,Viktor Krum,"April-August, 1976,",,Human,Pure-blood or Half-blood,Male,Dark,Dark,,,[],"[4, 5, 6, 7]",4,,,,,71,Viktor Krum,Viktor_Krum,http://img2.wikia.nocookie.net/__cb20070810211312/harrypotter/images/6/69/Krum_002.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Bartemius Crouch Junior', 'Bartemius Crouch Senior', 'Bill Weasley', 'Cedric Diggory', 'Fleur Delacour', 'Garrick Ollivander', 'Gellert Grindelwald', 'Ginny Weasley', 'Mykew Gregorovitch', 'Harry Potter', 'Hermione Granger', 'Igor Karkaroff', 'Ludovic Bagman', 'Molly Weasley', 'Neville Longbottom', 'Padma Patil', 'Pansy Parkinson', 'Poppy Pomfrey', 'Rita Skeeter', 'Ronald Weasley', 'Xenophilius Lovegood']",0,23,viktor_krum
60,Rabastan Lestrange,Before 1964,,Human,Pure-blood,Male,,,None,,"['Lord Voldemort', 'Death Eaters']","[4, 5]",2,,,,,73,Rabastan Lestrange,Rabastan_Lestrange,http://img1.wikia.nocookie.net/__cb20140731000920/harrypotter/images/c/cb/RabastanLestrange.png,"['Albus Dumbledore', 'Alice Longbottom', 'Bartemius Crouch Junior', 'Bellatrix Lestrange', 'Frank Longbottom', 'Ginny Weasley', 'Harry Potter', 'Lord Voldemort', 'Lucius Malfoy', 'Neville Longbottom', 'Rodolphus Lestrange', 'Ronald Weasley', 'Severus Snape', 'Vincent Crabbe senior']",2,14,rabastan_lestrange
61,Rodolphus Lestrange,Pre 1964,,Human,Pure-blood,Male,Dark,Dark,None,Slytherin,"['Slytherin', 'Hogwarts School of Witchcraft and Wizardry']","[4, 5, 7]",3,,,,,74,Rodolphus Lestrange,Rodolphus_Lestrange,http://img3.wikia.nocookie.net/__cb20140730235939/harrypotter/images/8/8c/RodolphusLestrange.png,"['Albus Dumbledore', 'Alice Longbottom', 'Bartemius Crouch Junior', 'Bellatrix Lestrange', 'Frank Longbottom', 'Ginny Weasley', 'Harry Potter', 'Lord Voldemort', 'Lucius Malfoy', 'Luna Lovegood', 'Molly Weasley', 'Narcissa Malfoy', 'Neville Longbottom', 'Nymphadora Tonks', 'Rabastan Lestrange', 'Ronald Weasley', 'Severus Snape', 'Sirius Black', 'Teddy Lupin']",2,19,rodolphus_lestrange
62,Gilderoy Lockhart,"26 January, 1964",,Human,Half-blood,Male,Blond,Blue,Non-corporeal,Ravenclaw,['Ravenclaw'],"[2, 3, 4, 5, 6]",5,,,,,75,Gilderoy Lockhart,Gilderoy_Lockhart,http://img2.wikia.nocookie.net/__cb20090730134528/harrypotter/images/6/66/LockhartCos.PNG,"['Albus Dumbledore', 'Angelina Johnson', 'Argus Filch', 'Arthur Weasley', 'Colin Creevey', 'Cornelius Fudge', 'Cuthbert Binns', 'Dean Thomas', 'Draco Malfoy', 'Fawkes', 'Filius Flitwick', 'George Weasley', 'Ginny Weasley', 'Harry Potter', 'Hermione Granger', 'Irma Pince', 'Justin Finch-Fletchley', 'Katie Bell', 'Lavender Brown', 'Minerva McGonagall', 'Molly Weasley', 'Neville Longbottom', 'Pomona Sprout', 'Poppy Pomfrey', 'Remus Lupin', 'Rolanda Hooch', 'Ronald Weasley', 'Rubeus Hagrid', 'Seamus Finnigan', 'Severus Snape', 'Susan Bones', 'Sybill Trelawney', 'Terry Boot']",1,33,gilderoy_lockhart
63,Frank Longbottom,c. 1 September 1957 - 31 August 1959 or earlier,,Human,Pure-blood,Male,Blonde,,,Gryffindor,['Gryffindor'],"[4, 5, 6, 7]",4,,,,,78,Frank Longbottom,Frank_Longbottom,http://img4.wikia.nocookie.net/__cb20071214184052/harrypotter/images/d/da/Frank.jpg,"['Alastor Moody', 'Alice Longbottom', 'Augusta Longbottom', 'Bartemius Crouch Junior', 'Bartemius Crouch Senior', 'Bellatrix Lestrange', 'Harry Potter', 'Hermione Granger', 'Neville Longbottom', 'Rabastan Lestrange', 'Rodolphus Lestrange', 'Severus Snape', 'Sybill Trelawney']",1,13,frank_longbottom
